,time,sex,vegan,rest,games,series,books,english,old_days,child_offence_no,child_offence_infrequently,child_offence_often,dvach_best_bord,dvach_doesn't_know,dvach_hate_abu,dvach_vk_pub,gender_other,gender_bi,gender_hetero,antisemetism_yes,antisemetism_no,antisemetism_afraid,subject_literature,subject_math,subject_IT,subject_history,subject_foreign_languages,subject_physics,subject_biology,subject_chemistry,crimea_neutral,crimea_no,crimea_yes,putin_good,rebel,films_action,films_detective,films_anime,films_drama,films_comedy,films_melodrama,films_historical,films_tragedy,films_horror,films_fantasy
51,2019-10-06 00:40:44,1,5,0,0,4,7,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
52,2019-10-06 00:45:42,1,0,0,2,5,5,3,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
53,2019-10-06 00:47:12,1,3,0,0,2,5,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
54,2019-10-06 00:47:22,1,3,0,0,2,5,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
55,2019-10-06 00:48:03,1,3,0,5,7,7,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1
56,2019-10-06 00:49:32,1,5,0,0,4,4,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
57,2019-10-06 00:53:52,1,0,0,2,7,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1
58,2019-10-06 01:00:24,1,2,0,1,3,1,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0
59,2019-10-06 01:51:46,0,0,0,2,4,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
60,2019-10-06 01:55:46,1,1,0,2,4,1,4,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
61,2019-10-06 05:22:07,0,0,0,4,2,3,2,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
62,2019-10-06 05:53:20,1,3,0,0,0,5,3,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
